Year,Water (%),Coal (%),Crop (%),Forest (%),Urban (%)
1987,6.961058604772768,13.637207556581934,37.79646343111422,9.184596994193136,32.420673413337944
1988,6.056004295499229,18.18369193988386,17.062258673904964,16.392871363993436,42.30517372671851
1989,11.314662561508204,8.727618752789448,38.826629368430886,6.624380005718243,34.506709311553216
1990,10.597596493345625,9.381527508718717,41.93433002923682,12.517979784046101,25.568566184652735
1991,11.238392588258835,12.210293398797726,48.675200188629844,8.321607459861022,19.55450636445258
1992,9.45627368649833,9.88165322184497,48.641716788175984,9.348204507787997,22.67215179569271
1993,10.5605041036213,8.516693379870581,43.43542896646968,9.257658976979862,28.229714573058573
1994,7.691558132997671,14.319426828344039,51.691713720535105,8.073629797098613,18.223671521024567
1995,5.835214351907732,11.853965858159505,47.72058242670845,7.140345171753805,27.449892191470514
1996,6.532230479678784,8.868770333145799,38.995610266050676,9.270210239664957,36.333178681459785
1997,6.184364013885787,11.696453526443666,51.6195339351256,8.258690746912409,22.240957777632527
1998,5.605722734186312,11.158313126335075,40.02240781338157,11.978997286441068,31.234559039655974
1999,9.468022951567765,9.596342570073539,25.952602742912045,17.497903778732066,37.485127956714585
2000,6.307791446936029,12.336808522668262,41.79967462956732,14.48684383061329,25.06888157021509
2001,8.998533547359763,10.54410325238103,34.02799693476511,12.155637261290423,34.273729004203666
2002,7.573744683257057,8.11573467192082,35.8537044069368,24.829886280748088,23.62692995713724
2003,6.92328451707513,29.858411330943113,32.302619364312626,8.89688034957472,22.018804438094406
2004,7.819998051145793,12.03758321226511,40.01037784914666,11.36370471570588,28.768336171736564
2005,4.07940097194091,9.035666036964871,46.00226243527378,14.015950930577883,26.866719625242553
2006,6.9587729115681345,10.289509109289419,26.817877970448794,13.740865748406131,42.19297426028753
2007,9.137840533200094,10.942254968675979,45.16597942154318,7.579599265851382,27.174325810729368
2008,6.949750438391947,11.40296249899249,42.18206709271453,12.901414844093667,26.56380512580736
2009,5.100023137631212,11.071697383843677,40.815222556343336,9.63062796814305,33.382428954038716
2010,3.4682787888071607,9.744351230043794,54.826401601108046,11.566088814017956,20.39487956602305
2011,5.709461125772073,10.034634267032324,53.21979987753497,12.404497121430058,18.63160760823058
2012,5.929769870794174,8.048567371609204,49.14071970464032,18.954692347699652,17.926250705256653
2013,10.399262482992638,7.32275952943592,50.44861741626042,8.779949097211334,23.04941147409969
2014,8.20591930380191,11.072860280386386,55.46146341306927,8.13265682161127,17.127100181131162
2015,5.3077405200874335,12.189321161148188,41.56392743044375,13.152440097795589,27.78657079052504
2016,19.79149665988043,10.108057148746097,41.23538910718818,8.419932367541072,20.445124716644216
2017,10.602929777489772,14.429701500497439,49.41981487489038,7.256554626263097,18.290999220859316
2018,8.31370778334676,8.478197494318849,50.30012755772078,9.081259601415205,23.826707563198415
2019,3.8134986624684766,10.892731615908906,52.63923380355791,21.07633694005028,11.578198978014438
2020,5.906471840059219,9.395241667946522,47.5574160118022,14.417471036858606,22.723399443333456
2021,8.973390922108788,4.859985251263848,44.120856228694436,13.438191848255634,28.607575749677295
2022,6.694193898161541,3.9945095243231843,49.38119868969629,14.461661105481532,25.468436782337445
2023,14.511064158606256,4.510835589285793,49.40349422341168,9.655249294943847,21.91935673375243
